julian_date,date,time,x,y,z,vx,vy,vz,range,radial_velocity
2460140.307306343,2023-Jul-14,19:22:31,-75732.39524581013,-372960.458371406,-26634.62772789301,-4.331196134994212,-3.138723439870245,-3.530350680943758,381502.69015103986,3.903586190216397
2460140.310778565,2023-Jul-14,19:27:31,-77048.87530001927,-373983.4906376335,-26524.419334664803,-4.439416954241102,-3.699409700914613,-3.820897224587556,382758.0505692179,4.481775173600703
2460140.314250787,2023-Jul-14,19:32:31,-78391.05803712679,-375192.3880937269,-26405.15015023711,-4.497106895597483,-4.383212883833818,-4.133564174004869,384202.7043347178,5.169579277774612
2460140.317723009,2023-Jul-14,19:37:31,-79737.67369882029,-376629.331963039,-26276.28379166807,-4.458896084853612,-5.226330214727961,-4.457777988000782,385873.2867039708,5.992168813403254
2460140.321195231,2023-Jul-14,19:42:31,-81048.60488928221,-378348.1320428539,-26137.862405419637,-4.240505440166311,-6.268435042792709,-4.76263852145077,387813.5805073623,6.969557942378771
2460140.324667454,2023-Jul-14,19:47:31,-82248.9740781917,-380412.5284927922,-25991.46426258649,-3.688613423537614,-7.529035654339222,-4.970529749652628,390069.4063698252,8.087291579617697
2460140.328139676,2023-Jul-14,19:52:31,-83203.78123251449,-382880.3023123148,-25842.26043048382,-2.555027939195918,-8.928164039908758,-4.910863926199878,392667.8208541091,9.214697914557176
2460140.331611898,2023-Jul-14,19:57:31,-83696.96034307349,-385749.79766894184,-25702.326193532146,5.835420607326599,-10.11706655820359,-4.301213620119877,395561.2432279713,9.961648221248263
2460140.33508412,2023-Jul-14,20:02:31,-83481.23072531019,-388862.51093713014,-25591.733132602007,2.084402897621831,-10.43532950346016,-2.957752268458935,398544.9850399229,9.726205720265142
2460140.338556343,2023-Jul-14,20:07:31,-82460.98439728796,-391886.40971825446,-25529.01065105054,4.61040505014759,-9.545114196768791,-1.211303929727627,401281.07662143104,8.366528726426848
2460140.342028565,2023-Jul-14,20:12:31,-80805.48325402699,-394520.63527602446,-25516.84009003651,6.262886040708886,-7.967544968909436,6.600584396967068,403518.483976503,6.53781079351119
2460140.345500787,2023-Jul-14,20:17:31,-78789.72097016843,-396666.5529995496,-25544.101218782922,7.059259452570403,-6.37001037633864,1.411282531459044,405221.76089911174,4.871845890093416
2460140.348973009,2023-Jul-14,20:22:31,-76622.66681513819,-398369.25927442877,-25597.56890584808,7.324517243217419,-5.030504551217681,2.098935513049915,406477.9641488704,3.562670599404238
2460140.352445231,2023-Jul-14,20:27:31,-74422.11942161586,-399713.1740377698,-25667.41637337333,7.314736224116724,-3.972200745325925,2.523137159732494,407391.81339570106,2.576976271257253
2460140.355917454,2023-Jul-14,20:32:31,-72246.77521185679,-400775.5694801972,-25747.32077073611,7.173174743202238,-3.143826018951353,2.782452319549591,408048.4997491844,1.835306316687317
2460140.359389676,2023-Jul-14,20:37:31,-70124.00633001958,-401616.83266113925,-25833.34357851592,6.972539735922364,-2.489513268364344,2.938972479155331,408510.4872350082,1.269197188110733
2460140.362861898,2023-Jul-14,20:42:31,-68065.49236599014,-402282.2084397735,-25923.01161196543,6.748921565906848,-1.964914527115563,3.030267447215499,408822.5642124467,-8.290561273583851
